iter,train_loss,lr,mfu,dt_ms,tokens_seen
2720,4.2153,0.01780042,0.0959,2051.3,267386880
2730,3.5996,0.01778133,0.0968,2050.25,268369920
2740,3.5302,0.01776217,0.0976,2051.04,269352960
2750,3.5231,0.01774294,0.0984,2051.49,270336000
2760,4.0623,0.01772363,0.099,2050.77,271319040
2770,4.0588,0.01770426,0.0996,2050.46,272302080
2780,4.0743,0.01768481,0.1002,2050.84,273285120
2790,4.4414,0.01766529,0.1006,2052.05,274268160
2800,4.3671,0.0176457,0.095,4857.78,275251200
2810,4.2818,0.01762604,0.096,2050.53,276234240
2820,3.9463,0.01760631,0.0969,2051.12,277217280
2830,4.2056,0.01758651,0.0977,2050.1,278200320
2840,3.8224,0.01756663,0.0984,2050.51,279183360
2850,3.7458,0.01754669,0.0991,2050.51,280166400
2860,4.2443,0.01752668,0.0997,2050.33,281149440
2870,4.2694,0.0175066,0.1002,2050.95,282132480
2880,4.1913,0.01748644,0.1007,2050.41,283115520
2890,4.4325,0.01746622,0.1011,2050.43,284098560
2900,3.9873,0.01744593,0.0941,6925.39,285081600
2910,4.1394,0.01742557,0.0952,2054.47,286064640
2920,4.1965,0.01740515,0.0962,2054.42,287047680
2930,3.9543,0.01738465,0.097,2055.02,288030720
2940,3.5784,0.01736408,0.0978,2054.15,289013760
2950,3.9094,0.01734345,0.0985,2054.59,289996800
2960,4.3442,0.01732275,0.0991,2054.7,290979840
2970,4.061,0.01730198,0.0997,2053.82,291962880
2980,3.8612,0.01728114,0.1002,2054.65,292945920
2990,4.3222,0.01726024,0.1007,2055.06,293928960
3000,4.2208,0.01723927,0.0937,6874.87,294912000
3010,3.8995,0.01721823,0.0948,2053.34,295895040
3020,3.6398,0.01719712,0.0958,2054.59,296878080
3030,4.0876,0.01717595,0.0967,2055.53,297861120
3040,3.9692,0.01715471,0.0975,2054.31,298844160
3050,3.296,0.01713341,0.0983,2056.12,299827200
3060,4.2399,0.01711203,0.0989,2054.25,300810240
3070,4.2188,0.0170906,0.0995,2055.14,301793280
3080,4.1568,0.0170691,0.1,2054.45,302776320
3090,3.8571,0.01704753,0.1005,2054.43,303759360
3100,3.8802,0.01702589,0.0936,6895.74,304742400
3110,3.9196,0.01700419,0.0947,2048.4,305725440
3120,4.0103,0.01698243,0.0958,2048.43,306708480
3130,3.8698,0.0169606,0.0967,2049.74,307691520
3140,4.5315,0.01693871,0.0975,2051.49,308674560
3150,3.1643,0.01691675,0.0983,2050.45,309657600
3160,3.9553,0.01689473,0.0989,2050.44,310640640
3170,3.7022,0.01687265,0.0995,2050.73,311623680
3180,3.4162,0.0168505,0.1001,2051.15,312606720
3190,4.3205,0.01682829,0.1006,2051.64,313589760
