iter,train_loss,lr,mfu,dt_ms,tokens_seen
3290,4.5977,1.608742e-02,0.0056,4563.10,107806720
3300,4.4378,1.606134e-02,0.0052,25199.28,108134400
3310,4.7588,1.603519e-02,0.0053,4571.96,108462080
3320,4.3929,1.600897e-02,0.0053,4549.11,108789760
3330,4.7533,1.598270e-02,0.0054,4562.52,109117440
3340,4.2995,1.595635e-02,0.0054,4578.20,109445120
3350,4.5795,1.592995e-02,0.0055,4560.54,109772800
3360,4.6147,1.590348e-02,0.0055,4561.15,110100480
3370,4.6348,1.587694e-02,0.0056,4565.67,110428160
3380,4.4417,1.585035e-02,0.0056,4551.24,110755840
3390,4.4413,1.582369e-02,0.0056,4560.16,111083520
3400,4.6922,1.579696e-02,0.0052,25661.46,111411200
3410,4.3881,1.577018e-02,0.0053,4556.79,111738880
3420,4.4998,1.574333e-02,0.0053,4550.22,112066560
3430,4.3588,1.571642e-02,0.0054,4542.55,112394240
3440,4.2204,1.568945e-02,0.0054,4558.84,112721920
3450,4.8331,1.566242e-02,0.0055,4565.62,113049600
3460,4.3453,1.563533e-02,0.0055,4573.11,113377280
3470,4.6175,1.560817e-02,0.0056,4558.79,113704960
3480,4.5685,1.558096e-02,0.0056,4553.79,114032640
3490,4.6408,1.555369e-02,0.0056,4549.71,114360320
3500,4.3143,1.552635e-02,0.0052,25664.66,114688000
3510,4.4324,1.549896e-02,0.0053,4550.24,115015680
3520,4.3202,1.547151e-02,0.0053,4554.04,115343360
3530,4.5942,1.544400e-02,0.0054,4555.43,115671040
3540,4.3357,1.541643e-02,0.0054,4568.99,115998720
3550,4.5801,1.538880e-02,0.0055,4552.19,116326400
3560,4.6694,1.536111e-02,0.0055,4563.39,116654080
3570,4.8250,1.533337e-02,0.0056,4552.10,116981760
3580,4.4855,1.530557e-02,0.0056,4546.63,117309440
3590,4.5151,1.527771e-02,0.0056,4550.01,117637120
3600,4.7359,1.524979e-02,0.0052,25528.97,117964800
3610,4.5003,1.522182e-02,0.0053,4567.67,118292480
3620,4.4999,1.519379e-02,0.0053,4552.41,118620160
3630,4.4974,1.516571e-02,0.0054,4574.88,118947840
3640,4.9602,1.513757e-02,0.0054,4560.69,119275520
3650,4.3518,1.510938e-02,0.0055,4575.64,119603200
3660,4.4786,1.508113e-02,0.0055,4576.64,119930880
3670,4.6606,1.505282e-02,0.0056,4567.02,120258560
3680,4.5360,1.502446e-02,0.0056,4573.64,120586240
3690,4.6115,1.499605e-02,0.0056,4576.41,120913920
3700,4.1929,1.496759e-02,0.0052,25672.25,121241600
3710,4.3114,1.493907e-02,0.0053,4555.50,121569280
3720,4.7202,1.491049e-02,0.0053,4578.07,121896960
3730,4.6405,1.488187e-02,0.0054,4552.17,122224640
3740,4.6531,1.485319e-02,0.0054,4561.17,122552320
3750,4.5799,1.482446e-02,0.0055,4555.56,122880000
